YEAR,SERIAL,PERNUM,percent_change_state_imputed,random_number,disemploy
2018,579676,1,-0.17820306557223756,0.5242552030831575,0
2018,579677,1,0,0.2772086262702942,0
2018,579678,1,0,0.01426005712710321,0
2018,579679,1,-0.4160764273676931,0.10714674275368452,0
2018,579680,1,0,0.9125344594940543,0
2018,579681,1,-0.05846966543538903,0.7705336778890342,0
2018,579682,1,0,0.06789408763870597,0
2018,579683,1,0,0.8039714461192489,0
2018,579684,1,0,0.5890082223340869,0
2018,579685,1,0,0.029886510921642184,0
2018,579686,1,0.18910734210090674,0.7306922262068838,0
2018,579687,1,-0.03942783135776987,0.037474198965355754,0
2018,579688,1,-0.07912650890495854,0.565083236200735,0
2018,579689,1,-0.05846966543538903,0.004470964893698692,0
2018,579690,1,-0.04008539459619619,0.8557376263197511,0
2018,579691,1,-0.05846966543538903,0.532174484571442,0
2018,579692,1,0,0.33002554695121944,0
2018,579693,1,-0.053554224737412635,0.23165514855645597,0
2018,579694,1,0,0.734390311408788,0
2018,579695,1,-0.17820306557223756,0.37157947570085526,0
2018,579696,1,0.0366343672287186,0.5847210471983999,0
2018,579697,1,0,0.3221422955393791,0
2018,579698,1,0,0.22801298811100423,0
2018,579699,1,0,0.8386633284389973,0
2018,579700,1,0,0.15587814734317362,0
2018,579701,1,0,0.08571880729869008,0
2018,579702,1,0,0.7373904683627188,0
2018,579703,1,-0.17820306557223756,0.6314835150260478,0
2018,579704,1,0,0.39421283546835184,0
2018,579705,1,-0.05846966543538903,0.024094950407743454,0
2018,579706,1,-0.17820306557223756,0.25902895885519683,0
2018,579707,1,0.016961886940824462,0.433069936465472,0
2018,579708,1,-0.05846966543538903,0.7581146135926247,0
2018,579709,1,0,0.4364541727118194,0
2018,579710,1,-0.17820306557223756,0.39990263897925615,0
2018,579711,1,0.0986664068904527,0.6307455522473902,0
2018,579712,1,0,0.051234347047284245,0
2018,579713,1,0,0.8630320976953954,0
2018,579714,1,0,0.10131448949687183,0
2018,579715,1,0,0.9383425533305854,0
2018,579716,1,0,0.8997786547988653,0
2018,579717,1,-0.17820306557223756,0.5282356217503548,0
2018,579718,1,0,0.09122764109633863,0
2018,579719,1,0,0.9889634575229138,0
2018,579720,1,0,0.1159197622910142,0
2018,579721,1,0,0.8640488192904741,0
2018,579722,1,0,0.5217750039882958,0
2018,579723,1,-0.05846966543538903,0.48782087257131934,0
2018,579724,1,0,0.8283112193457782,0
2018,579725,1,-0.17820306557223756,0.19505316950380802,0
2018,579726,1,0,0.34929546737112105,0
2018,579727,1,0.0366343672287186,0.6561828311532736,0
2018,579728,1,0,0.6137645931448787,0
2018,579729,1,0,0.1438731064554304,0
2018,579730,1,0,0.5518341644201428,0
2018,579731,1,0,0.392230890924111,0
2018,579732,1,0,0.36769693274982274,0
2018,579733,1,0,0.9173107936512679,0
2018,579734,1,-0.044221198533825,0.18096350715495646,0
2018,579735,1,0,0.9070015128236264,0
2018,579736,1,0,0.9078483369667083,0
2018,579737,1,-0.05846966543538903,0.30471765296533704,0
2018,579738,1,0,0.9003771250136197,0
2018,579739,1,0,0.9968330094125122,0
2018,579740,1,0,0.4518895435612649,0
2018,579741,1,0.0986664068904527,0.30796173424459994,0
2018,579742,1,0,0.0292357315775007,0
2018,579743,1,0,0.8102676612325013,0
2018,579744,1,0,0.5107663518283516,0
2018,579745,1,-0.22561234184541215,0.42132107564248145,0
2018,579746,1,-0.2015170945257314,0.5798333783168346,0
2018,579747,1,0,0.3882717911619693,0
2018,579748,1,0.02524652359456947,0.8932890766300261,0
2018,579749,1,0,0.7574504865333438,0
2018,579750,1,0,0.5098386220633984,0
2018,579751,1,0,0.6813668149989098,0
2018,579752,1,0,0.5000463156029582,0
2018,579753,1,0,0.5596262435428798,0
2018,579754,1,0,0.6906416642013937,0
2018,579755,1,0,0.21441843686625361,0
2018,579756,1,0,0.7250124765560031,0
2018,579757,1,0.02688244615870594,0.3562207678332925,0
2018,579758,1,-0.17820306557223756,0.24774858518503606,0
2018,579759,1,-0.053616956470484894,0.8221089045982808,0
2018,579760,1,-0.17820306557223756,0.20600830158218741,0
2018,579761,1,0,0.3866710022557527,0
2018,579762,1,0,0.567791047738865,0
2018,579763,1,-0.00398817660665074,0.6728554046712816,0
2018,579764,1,0,0.7980579792056233,0
2018,579765,1,0,0.8073355206288397,0
2018,579766,1,0,0.9912348792422563,0
2018,579767,1,0,0.8235044577158988,0
2018,579768,1,0,0.4548167511820793,0
2018,579769,1,-0.019927194248743462,0.037270956207066774,0
2018,579770,1,0,0.3451423703227192,0
2018,579771,1,-0.22561234184541215,0.07222204376012087,0
2018,579772,1,-0.044221198533825,0.32914550928398967,0
2018,579773,1,0,0.23718084790743887,0
2018,579774,1,0,0.37428658874705434,0
2018,579775,1,-0.05846966543538903,0.04987462889403105,0
2018,579776,1,-0.06265586501311238,0.3607978490181267,0
2018,579777,1,0,0.48438751022331417,0
2018,579778,1,0,0.9313561453018337,0
2018,579779,1,0,0.030478016007691622,0
2018,579780,1,0,0.6010749842971563,0
2018,579781,1,0,0.22650119243189692,0
2018,579782,1,0,0.7579386241268367,0
2018,579783,1,0,0.580965728033334,0
2018,579784,1,-0.17820306557223756,0.18962440872564912,0
2018,579785,1,-0.2015170945257314,0.41813368536531925,0
2018,579786,1,-0.2015170945257314,0.07421695068478584,0
2018,579787,1,-0.1920667860172176,0.38436552602797747,0
2018,579788,1,-0.05462116719979321,0.8246916474308819,0
2018,579789,1,0,0.7773120433557779,0
2018,579790,1,0,0.5144813933875412,0
2018,579791,1,0,0.4877712638117373,0
2018,579792,1,0,0.8550633126869798,0
2018,579793,1,0,0.8505902297329158,0
2018,579794,1,0,0.9018330066464841,0
2018,579795,1,0,0.22636164305731654,0
2018,579796,1,-0.05846966543538903,0.8724054819904268,0
2018,579797,1,0,0.3558039979543537,0
2018,579798,1,0,0.43778151483274996,0
2018,579799,1,0.0015941428405031877,0.765787334414199,0
2018,579800,1,-0.06182412767310591,0.1428993798326701,0
2018,579801,1,-0.05846966543538903,0.9352804173249751,0
2018,579802,1,0.17190488066117948,0.14436723827384412,0
2018,579803,1,0,0.49733715946786106,0
2018,579804,1,0,0.3178559257648885,0
2018,579805,1,-0.03942783135776987,0.10317493975162506,0
2018,579806,1,0.17190488066117948,0.2114523781929165,0
2018,579807,1,0,0.9089149546343833,0
2018,579808,1,-0.17820306557223756,0.40704323700629175,0
2018,579809,1,0,0.05323010287247598,0
2018,579810,1,0,0.563233460765332,0
2018,579811,1,-0.17820306557223756,0.8872164255008101,0
2018,579812,1,0,0.6084869580809027,0
2018,579813,1,-0.22561234184541215,0.7522227058652788,0
2018,579814,1,0,0.6709977611899376,0
2018,579815,1,-0.05649410269901282,0.5957569698803127,0
2018,579816,1,0,0.28046013065613806,0
2018,579817,1,-0.05846966543538903,0.7878617362584919,0
2018,579818,1,0.03831335604290642,0.25464007165282965,0
2018,579819,1,0,0.189251501346007,0
2018,579820,1,-0.16073815345167108,0.45934421219863,0
2018,579821,1,0,0.5578044350259006,0
2018,579822,1,0,0.9983218400739133,0
2018,579823,1,0.0366343672287186,0.7322169824037701,0
2018,579824,1,-0.006499710837148176,0.6606296892277896,0
2018,579825,1,-0.05846966543538903,0.9876171196810901,0
2018,579826,1,-0.17820306557223756,0.5481132050044835,0
2018,579827,1,-0.17820306557223756,0.04581945389509201,0
2018,579828,1,0,0.8550412198528647,0
2018,579829,1,0,0.9474782282486558,0
2018,579830,1,0,0.4500926323235035,0
2018,579831,1,0,0.16352429939433932,0
2018,579832,1,-0.03818662165874542,0.516885137418285,0
2018,579833,1,-0.05846966543538903,0.23840770730748773,0
2018,579834,1,-0.22561234184541215,0.7100172962527722,0
2018,579835,1,0,0.6548157187644392,0
2018,579836,1,0,0.6190833826549351,0
2018,579837,1,0,0.8822109845932573,0
2018,579838,1,-0.00398817660665074,0.7498195697553456,0
2018,579839,1,0,0.008397181518375874,0
2018,579840,1,0,0.052253288216888905,0
2018,579841,1,-0.22561234184541215,0.701182852499187,0
2018,579842,1,-0.05846966543538903,0.5416921661235392,0
2018,579843,1,0,0.9180747491773218,0
2018,579844,1,0,0.35107163805514574,0
2018,579845,1,-0.17820306557223756,0.3739795982837677,0
2018,579846,1,0,0.6331408189143986,0
2018,579847,1,-0.03942783135776987,0.06231646332889795,0
2018,579848,1,0,0.5051356200128794,0
2018,579849,1,0,0.5051366975530982,0
2018,579850,1,0,0.6162066287361085,0
2018,579851,1,0,0.8110217186622322,0
2018,579852,1,0,0.7846703119575977,0
2018,579853,1,0,0.22901895665563643,0
2018,579854,1,0,0.007134717423468828,0
2018,579855,1,-0.044221198533825,0.9255624536890537,0
2018,579856,1,0,0.32558749662712216,0
2018,579857,1,-0.05846966543538903,0.04321134346537292,0
2018,579858,1,0,0.16358202672563493,0
2018,579859,1,0,0.982526543084532,0
2018,579860,1,-0.1252107634157511,0.13288987707346678,0
2018,579861,1,0,0.4095157403498888,0
2018,579862,1,0,0.35399341164156795,0
2018,579863,1,-0.20441922235155618,0.2669063378125429,0
2018,579864,1,-0.044221198533825,0.280524083878845,0
2018,579865,1,-0.1924938460474764,0.01972621283493936,0
2018,579866,1,-0.17820306557223756,0.43856105324812233,0
2018,579867,1,0,0.7854360630735755,0
2018,579868,1,-0.05846966543538903,0.7893206919543445,0
2018,579869,1,0,0.7898449085187167,0
2018,579870,1,0,0.8838234981521964,0
2018,579871,1,0,0.9309981327969581,0
2018,579872,1,-0.20441922235155618,0.3935516648925841,0
2018,579873,1,0,0.22984633315354586,0
2018,579874,1,0,0.9020311336498708,0
2018,579875,1,-0.03818662165874542,0.9622036414220929,0
2018,579876,1,-0.05846966543538903,0.22588015673682094,0
2018,579877,1,0.0986664068904527,0.24289840157143772,0
2018,579878,1,-0.22561234184541215,0.42953359871171415,0
2018,579879,1,0,0.11747235059738159,0
2018,579880,1,0,0.49509531352669,0
2018,579881,1,0,0.5442456281743944,0
2018,579882,1,-0.019927194248743462,0.7869384009391069,0
2018,579883,1,-0.05846966543538903,0.8708962169475853,0
2018,579884,1,0,0.3849537803325802,0
2018,579885,1,0,0.019676830619573593,0
2018,579886,1,-0.00398817660665074,0.07704251888208091,0
2018,579887,1,0,0.7764967747498304,0
2018,579888,1,-0.05846966543538903,0.7864938226994127,0
2018,579889,1,-0.10385771562420631,0.011163025861606002,0
2018,579890,1,0,0.8951919667888433,0
2018,579891,1,-0.1920667860172176,0.9999452398624271,1
2018,579892,1,-0.05846966543538903,0.7038378748111427,0
2018,579893,1,-0.05846966543538903,0.4371367513667792,0
2018,579894,1,0,0.29883480025455356,0
2018,579895,1,-0.044221198533825,0.909364847233519,0
2018,579896,1,0,0.6829046844504774,0
2018,579897,1,0,0.5380564036313444,0
2018,579898,1,0,0.8049167618155479,0
2018,579899,1,0,0.8348383589182049,0
2018,579900,1,0,0.2086946831550449,0
2018,579901,1,-0.32435368830765843,0.5560212263371795,0
2018,579902,1,0,0.3086145808920264,0
2018,579903,1,0,0.4369367193430662,0
2018,579904,1,0,0.3164008376188576,0
2018,579905,1,0,0.8806437109597027,0
2018,579906,1,-0.05091606236420343,0.6463659515138716,0
2018,579907,1,-0.17820306557223756,0.7913102163001895,0
2018,579908,1,0.03831335604290642,0.3315219827927649,0
2018,579909,1,0,0.2794986560475081,0
2018,579910,1,0,0.42376946471631527,0
2018,579911,1,0,0.8744026080239564,0
2018,579912,1,-0.32435368830765843,0.5980817317031324,0
2018,579913,1,0,0.6172465113922954,0
2018,579914,1,0,0.299982642987743,0
2018,579915,1,-0.05846966543538903,0.36280022538267076,0
2018,579916,1,-0.1252107634157511,0.15595400636084378,0
2018,579917,1,0.0986664068904527,0.2046747317072004,0
2018,579918,1,0,0.16461864043958485,0
2018,579919,1,0.004517165635236764,0.19014499033801258,0
2018,579920,1,-0.2015170945257314,0.0656558854971081,0
2018,579921,1,-0.044221198533825,0.697240456007421,0
2018,579922,1,0,0.44821315933950245,0
2018,579923,1,0,0.6226529064588249,0
2018,579924,1,-0.07681906314217057,0.818641219753772,0
2018,579925,1,0.0986664068904527,0.029916845494881272,0
2018,579926,1,0.17190488066117948,0.5006977575831115,0
2018,579927,1,0,0.023465380538254976,0
