IND,state,led_code,percent_change_state_imputed
0270,24,11,0.09102086308844937
0370,24,21,0.15874907849145126
0380,24,21,0.05940589294136911
0390,24,21,0.15767853533165865
0470,24,21,0.12767289858003794
0490,24,21,-0.0994226835342662
0770,24,23,-2.6126143934490642e-5
1080,24,31,-0.01738992002121431
1090,24,31,-0.02651754294194064
1170,24,31,0.02683217911417979
1180,24,31,0.05863973836138525
1190,24,31,-0.09008837076844556
1370,24,31,-0.035147235648972375
1390,24,31,-0.0013366914743782043
1470,24,31,-0.07521190380535003
1480,24,31,-0.07521190380535003
1490,24,31,-0.07521190380535003
1570,24,31,-0.03952102899675003
1590,24,31,-0.03952102899675003
1670,24,31,-0.139772601323794
1691,24,31,-0.139772601323794
1870,24,32,0.008222869876280292
1880,24,32,0.01898358437377068
1990,24,32,-0.09162942459001322
2070,24,32,0.009524789133977585
2090,24,32,-0.11913018162625633
2170,24,32,0.01122513227343791
2180,24,32,0.060165553372804714
2190,24,32,0.052361874483186854
2270,24,32,0.009503136715403926
2280,24,32,0.0431467287542151
2370,24,32,0.007629211641464462
2380,24,32,0.06403347645440927
2390,24,32,0.017041675931918854
2470,24,32,-0.04752215413934857
2480,24,32,-0.04752215413934857
2490,24,32,-0.10353195896990797
2680,24,33,-0.03403298211182104
2690,24,33,-0.06248357803646554
2770,24,33,-0.14262647787687333
2780,24,33,-0.09215803563575653
2790,24,33,-0.10366711305466259
2880,24,33,-0.06269335704582801
2890,24,33,-0.07642689690654147
2970,24,33,-0.004304855089290127
3070,24,33,-0.0036349710175762606
3095,24,33,-0.04601529600659704
3170,24,33,-0.07699820198950291
3180,24,33,-0.04777806184305777
3365,24,33,0.014936306627160834
3380,24,33,-0.005360914617283052
3470,24,33,-0.061092629516463104
3590,24,33,0.0218731137472038
3670,24,33,-0.03020212969625169
3680,24,33,-0.05629923477525445
3690,24,33,-0.03020212969625169
3770,24,32,-0.01842729724783365
3780,24,32,-0.06106758422665537
3790,24,32,0.019289743047949615
3895,24,33,-0.0761548872915323
3960,24,33,-0.018276096968848354
3970,24,33,0.0056710162601435465
4070,24,42,-0.04094546860125314
4080,24,42,-0.01061706062279022
4090,24,42,0.050610516656268034
4170,24,42,0.014254401340321743
4180,24,42,-0.041957297730322196
4195,24,42,0.013357980055963892
4265,24,42,0.019581377776749176
4270,24,42,-0.010192610973626781
4280,24,42,-0.06519605367834569
4370,24,42,0.02649149796656214
4390,24,42,-0.09284526031700857
4470,24,42,-0.03185670612382707
4480,24,42,0.0738686200406935
4490,24,42,0.017037645651065803
4560,24,42,0.04484924983656313
4570,24,42,0.03582105310670958
4670,24,44,-0.027046632838695794
4680,24,44,-0.01736376743366086
4690,24,44,0.02057990440857882
4770,24,44,-0.07945907414614273
4780,24,44,0.07230394787687311
4795,24,44,-0.057223946454638575
4880,24,44,0.06130869070346279
4890,24,44,0.06959001416421018
4971,24,44,0.08353246349258325
4972,24,44,0.004932745863869159
4980,24,44,-0.03184393484704762
4990,24,44,0.02554239558167437
5070,24,44,0.045641216829028886
5090,24,44,0.021540116069407422
5170,24,44,-0.24749609780940884
5180,24,44,-0.17598555009000771
5190,24,44,-0.18914631136532734
5280,24,45,0.12035846551312845
5295,24,45,-0.1656108163465645
5370,24,45,-0.428108428024504
5381,24,45,0.03024596965421611
5391,24,45,0.15393943175168767
5470,24,45,-0.11095525332252076
5480,24,45,-0.07072704802885621
5490,24,45,-0.11498554726022614
5570,24,45,-0.15303052292246244
5580,24,45,-6.749258234565181e-4
5593,24,45,0.07114454498244582
5670,24,45,-0.10247692414751486
5680,24,45,0.03509991732784146
5690,24,45,-0.026413670430151637
6070,24,48,-0.10595937721027504
6080,24,48,0.012471816581619555
6090,24,48,-0.055597498697286585
6170,24,48,0.04908697172732357
6190,24,48,-0.27813166714825
6270,24,48,0.08418495412426696
6280,24,48,-0.32776637724865254
6290,24,48,-0.010473592641643048
6370,24,49,-4.054233017205533e-4
6380,24,49,0.19403455904229594
6390,24,49,0.11360494530371279
0570,24,22,0.04268297417795375
0580,24,22,0.03780280849139139
0670,24,22,-0.008596586313794563
0680,24,22,-0.008596586313794563
6470,24,51,-0.0991233092606153
6490,24,51,-0.008687374533778769
6570,24,51,-0.4664235893463472
6590,24,51,-0.4664235893463472
6670,24,51,-0.07159494277210487
6672,24,51,0.0198114994096249
6680,24,51,-0.015770309373906
6695,24,51,-0.023973158535592565
6770,24,51,0.010050246478070402
6780,24,51,0.010050246478070402
6970,24,52,0.005230428555737521
6991,24,52,0.007641243039775314
6992,24,52,3.118004925739548e-5
7072,24,53,0.017261244788655872
7080,24,53,-0.16341082676266816
7270,24,54,-0.013159816691916237
7280,24,54,0.004609384720052012
7290,24,54,-0.003158283227715941
7370,24,54,-0.04993156703868451
7380,24,54,-0.007184272781761369
7390,24,54,-0.010117533913108767
7460,24,54,0.028723212692714606
7470,24,54,-0.07254662831917136
7480,24,54,0.05179320879417881
7570,24,55,-0.15346289914862088
7580,24,56,-0.16285354041892797
7590,24,56,-0.12236216095743846
7670,24,56,-0.3119358563640603
7680,24,56,-0.07932606202071857
7770,24,56,-0.01635586633000019
7790,24,56,-0.04254625503595577
7860,24,61,-0.03817160437307032
7970,24,62,-0.05757477369465014
7980,24,62,-0.06115395106714028
7990,24,62,-0.016261005565860964
8070,24,62,-0.07943442466999906
8090,24,62,-0.047447956196751684
8170,24,62,-0.060678867440600914
8192,24,62,-0.07969291803689638
8270,24,62,-0.09841060283303538
8370,24,62,-0.08312580619820908
8380,24,62,-0.04596811776132148
8390,24,62,-0.15957719487722632
8470,24,62,-0.21483066846543308
8561,24,71,-0.5315049385190196
8562,24,71,-0.425803573010359
8563,24,71,-0.44455796946271864
8564,24,71,-0.32342015470608043
8570,24,71,-0.26604157050332133
8580,24,71,-0.5072890174559213
8660,24,72,-0.292923058470124
8690,24,72,-0.36865736362342993
8780,24,81,0.03042440797066548
8790,24,81,0.022442634386302118
8870,24,81,-0.0075893679753255006
8891,24,81,0.02202387342331691
8970,24,81,-0.11134879516390428
8980,24,81,-0.11134879516390428
9070,24,81,-0.14837094102700965
9080,24,81,0.045887826656697994
9090,24,81,-0.1879992431060935
9180,24,81,-0.04996431808522095
9670,24,92,0.08915410759357001
9680,24,92,0.08915410759357001
9690,24,92,0.08915410759357001
9770,24,92,0.08915410759357001
9780,24,92,0.08915410759357001
9790,24,92,0.08915410759357001
9870,24,92,0.08915410759357001
0170,24,11,NA
0180,24,11,NA
0190,24,11,NA
0280,24,11,NA
0290,24,11,NA
0590,24,22,NA
9920,24,NA,NA
0690,24,22,7.004343462807194
1070,24,31,0.021254252831350358
1270,24,31,-0.02229763788100895
1280,24,31,-0.03174632116798247
1290,24,31,-5.652688080771026
1770,24,31,-0.11768997749039205
1790,24,31,-0.11768997749039205
1890,24,32,-0.013391477740439544
2290,24,32,-0.038054352505555666
2570,24,32,-0.051699547038278344
2590,24,32,-0.051699547038278344
2670,24,33,-0.06869180157347361
2870,24,33,-0.03969286534034322
2980,24,33,-0.07246742810372998
3080,24,33,-0.11481418622154853
3291,24,33,-0.0571660521238931
3370,24,33,-0.013493291180804766
3390,24,33,-0.013493291180804766
3490,24,33,-0.06295641931848028
3570,24,33,-0.09592756374384885
3580,24,33,-0.0848549846134941
3875,24,32,-0.0683278628128266
3980,24,33,-0.08487286150096614
3990,24,33,-0.11768997749039205
4290,24,42,-0.08518177894522302
4380,24,42,-0.022848470833891805
4580,24,42,-0.0441711989842026
4585,24,42,-0.05399596250184978
4870,24,44,0.08656211946641315
5080,24,44,-0.2266085771527548
5275,24,45,-0.12575943187291613
6180,24,48,-0.3163465451033427
6480,24,51,-0.060540185046393434
6690,24,51,-0.020237750024433315
6870,24,52,-0.01871013588665913
6880,24,52,-0.01871013588665913
6890,24,52,-0.0024883885600604154
7071,24,53,-0.038021668847943516
7181,24,53,-0.16213227261824897
7190,24,53,-0.11503673220887231
7490,24,54,-0.07823309771667426
7690,24,56,-0.07456512907826084
7780,24,56,-0.056183622890714505
7870,24,61,-0.045872164131131585
7880,24,61,-0.12127521975426475
7890,24,61,-0.1810424043455656
8080,24,62,-0.11351390307019601
8180,24,62,-0.0565165164182343
8191,24,62,-0.018720881312469
8290,24,62,-0.0568803411223168
8590,24,71,-0.26769604615049
8670,24,72,-0.05942925501287639
8680,24,72,-0.19834993163354886
8770,24,81,-0.05570720211581932
8990,24,81,-0.17387967175737598
9160,24,81,0.010676556218396275
9170,24,81,-0.21045228045737938
9190,24,81,0.005886110172646837
9370,24,92,-0.028847681754755435
9380,24,92,-0.028847681754755435
9390,24,92,-0.028847681754755435
9470,24,92,-0.028847681754755435
9480,24,92,-0.028847681754755435
9490,24,92,-0.028847681754755435
9570,24,92,-0.028847681754755435
9590,24,92,-0.028847681754755435
0480,24,21,-0.10581674433002333
2990,24,33,-0.07278385589293133
4590,24,42,-0.05089790910300006
5790,24,44,-0.032221834122852705
9290,24,81,-0.08417229747315799
