STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
24,001,000100,3718,39.64602,-78.534287
24,001,000200,4564,39.618868,-78.722365
24,001,000300,2780,39.683783,-78.748228
24,001,000400,3022,39.668493,-78.745706
24,001,000500,2734,39.65341,-78.744556
24,001,000600,2965,39.640781,-78.750041
24,001,000700,3387,39.635052,-78.75603
24,001,000800,2213,39.632064,-78.765261
24,001,001000,2547,39.658427,-78.768081
24,001,001100,1493,39.651587,-78.772197
24,001,001200,3164,39.649823,-78.787137
24,001,001300,5268,39.610651,-78.812807
24,001,001401,4110,39.645363,-78.825818
24,001,001402,1589,39.652176,-78.811459
24,001,001502,2055,39.700427,-78.788753
24,001,001503,1968,39.698908,-78.873239
24,001,001600,1766,39.669885,-78.926705
24,001,001700,4818,39.650972,-78.912225
24,001,001800,5411,39.652484,-78.934672
24,001,001900,2623,39.609693,-78.935759
24,001,002000,5552,39.574809,-78.858739
24,001,002100,3466,39.555132,-78.990352
24,001,002200,3874,39.482695,-79.022017
24,003,701101,4151,38.942957,-76.579423
24,003,701102,7508,38.933633,-76.553407000000007
24,003,701200,8298,38.90172,-76.516022
24,003,701300,7906,38.89493,-76.640971
24,003,701400,3575,38.879272,-76.570363
24,003,702100,6722,39.054784,-76.587606
24,003,702204,4169,38.996229,-76.688629
24,003,702205,5322,39.007903,-76.688169
24,003,702206,6372,39.012375,-76.670466
24,003,702208,6962,39.030712,-76.674374
24,003,702209,4523,39.020715,-76.683179
24,003,702300,5423,38.965771,-76.626179
24,003,702402,6049,38.976074,-76.558448
24,003,702500,6669,38.966967,-76.528334
24,003,702601,5629,38.941741,-76.500401
24,003,702602,6021,38.934939,-76.471353
24,003,702701,4815,38.994124,-76.52548
24,003,702702,3857,39.011311,-76.544801
24,003,706101,3686,38.978535,-76.493093
24,003,706301,4663,38.953875,-76.482501
24,003,706302,3224,38.966117,-76.484261
24,003,706401,6442,38.960061,-76.502917
24,003,706402,3210,38.96602,-76.49375
24,003,706500,5222,38.974757,-76.515578
24,003,706600,4591,38.98534,-76.512468
24,003,706700,4890,38.983295,-76.486056
24,003,707001,6082,38.830672,-76.520813
24,003,707002,4696,38.792874,-76.535283
24,003,708001,3873,38.747593,-76.579684
24,003,708004,5485,38.801336,-76.666646
24,003,730100,7451,39.165552,-76.542439
24,003,730203,5303,39.144485,-76.593349
24,003,730204,5723,39.142565,-76.578418
24,003,730300,3113,39.151601,-76.606501
24,003,730401,4745,39.155268,-76.631186
24,003,730402,6136,39.145947,-76.620758
24,003,730502,6327,39.132246,-76.612749
24,003,730504,7630,39.119086,-76.61921
24,003,730505,4599,39.130533,-76.634104
24,003,730506,3888,39.134138,-76.628308
24,003,730601,6846,39.097987,-76.612703
24,003,730603,3107,39.104827,-76.584637
24,003,730604,6748,39.086849,-76.577159
24,003,730700,6978,39.071023,-76.560628
24,003,730800,2456,39.031679,-76.515577
24,003,730901,2608,39.002502,-76.474359
24,003,730902,4075,39.018657,-76.449108
24,003,731002,3234,39.029378,-76.430388
24,003,731003,4387,39.042084,-76.441629
